Study_ID,First_Author,Year,Title,DOI,OODA_Phase,CRISP_DM_Phase,OODA_CRISP_Label,NIH_AI_Score,Has_Performance_Metrics,Has_External_Validation,Has_Explainability,Has_Model_Transparency,Has_Bias_Fairness,Has_Clinical_Utility,Has_Safety_Monitoring,Has_Regulatory_Ethics,OP_Perf_Tags,Has_PDF,Notes
1091,Coupland,2025,Exploring the potential and limitations of deep learning and explainable AI for longitudinal life course analysis.,,decide,modeling,decide:modeling,6,Y,N,Y,N,Y,N,N,Y,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
843,Xu,2024,Construction and SHAP interpretability analysis of a risk prediction model for feeding intolerance in preterm newborns based on machine learning.,,decide,modeling,decide:modeling,4,Y,N,Y,N,N,N,N,N,human_resources|cost|improved_healthcare_outcomes|improved_patient_outcomes,,
1811,Leonetti,2025,Outcome centred process mapping in healthcare using random forest and process mining.,,decide,modeling,decide:modeling,4,N,N,Y,N,Y,Y,N,N,human_resources|process_throughput|improved_process_performance|improved_patient_outcomes,,
823,Wang,2026,An interpretable machine learning model for preoperative prediction of renal mass malignancy.,,decide,modeling,decide:modeling,1,N,N,Y,N,N,N,N,N,,,
851,Fatemi,2024,Machine Learning Approach for Cardiovascular Death Prediction among Nonalcoholic Steatohepatitis (NASH) Liver Transplant Recipients.,,decide,modeling,decide:modeling,3,Y,N,Y,N,Y,N,N,N,human_resources|improved_process_performance|improved_patient_outcomes,,
834,Awe,2025,Explainable AI for enhanced accuracy in malaria diagnosis using ensemble machine learning models.,,decide,evaluation,decide:evaluation,5,Y,N,Y,N,N,Y,N,N,human_resources|cost|improved_patient_outcomes,,
820,Pang,2025,Systemic immune-inflammatory biomarkers combined with the CRP-albumin-lymphocyte index predict surgical site infection following posterior lumbar spinal fusion: a retrospective study using machine learning.,,decide,evaluation,decide:evaluation,7,Y,N,Y,Y,N,Y,N,N,human_resources|cost|improved_patient_outcomes,,
8651,Togunwa,2023,Deep hybrid model for maternal health risk classification in pregnancy: synergy of ANN and random forest.,,decide,evaluation,decide:evaluation,5,Y,Y,N,N,Y,N,N,N,human_resources|process_throughput|improved_healthcare_outcomes|improved_patient_outcomes,,
780,Akhter,2026,Web-based cardiovascular disease risk prediction using machine learning.,,decide,evaluation,decide:evaluation,6,Y,Y,Y,Y,Y,N,Y,N,human_resources|improved_outcomes|improved_patient_outcomes,,
15,Rezk,2025,Explainable AI for Chronic Kidney Disease Prediction in Medical IoT: Integrating GANs and Few-Shot Learning.,,decide,evaluation,decide:evaluation,6,Y,N,Y,N,Y,Y,Y,N,human_resources|process_throughput|improved_patient_outcomes,,
2,Athukorala,2026,Explainable AI for critical care: a systematic review of interpretable models for sepsis and ICU mortality prediction.,,decide,evaluation,decide:evaluation,8,Y,N,Y,Y,N,Y,N,Y,human_resources|improved_patient_outcomes,,
23,Malinverno,2023,A historical perspective of biomedical explainable AI research.,,decide,evaluation,decide:evaluation,4,N,N,Y,N,Y,N,Y,N,human_resources|process_throughput|improved_patient_outcomes,,
848,Gao,2024,Prediction of sepsis mortality in ICU patients using machine learning methods.,,decide,evaluation,decide:evaluation,7,Y,N,Y,Y,N,Y,N,N,human_resources|process_throughput|improved_patient_outcomes,,
2395,Picazo-Cot,2025,Time Series Glucose Level Detection in fuel-cell based sensors Using Machine Learning: A Comparative Study of K-NN with Dynamic Time Warping and XGBoost.,,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,,,
866,Chun,2022,Prediction of conversion to dementia using interpretable machine learning in patients with amnestic mild cognitive impairment.,,decide,modeling,decide:modeling,4,Y,N,Y,N,Y,N,N,N,human_resources|cost|improved_patient_outcomes,,
1704,Booth,2021,Machine Learning Approaches to Determine Feature Importance for Predicting Infant Autopsy Outcome.,,decide,modeling,decide:modeling,1,N,N,Y,N,N,N,N,N,improved_patient_outcomes,,
807,Ganie,2025,Lifestyle data-based multiclass obesity prediction with interpretable ensemble models incorporating SHAP and LIME analysis.,,decide,evaluation,decide:evaluation,9,Y,Y,Y,Y,N,Y,Y,N,improved_healthcare_outcomes|improved_patient_outcomes,,
839,Kang,2025,Constructing a fall risk prediction model for hospitalized patients using machine learning.,,decide,modeling,decide:modeling,10,Y,Y,Y,N,Y,Y,Y,Y,cost|improved_healthcare_outcomes|improved_patient_outcomes,,
821,Fernández-Blázquez,2025,XGBoost models based on non imaging features for the prediction of mild cognitive impairment in older adults.,,decide,evaluation,decide:evaluation,6,Y,N,Y,N,Y,Y,N,N,improved_patient_outcomes,,
847,Kaliappan,2024,Analyzing classification and feature selection strategies for diabetes prediction across diverse diabetes datasets.,,decide,evaluation,decide:evaluation,3,Y,N,Y,N,Y,N,N,N,human_resources|process_throughput|improved_healthcare_outcomes|improved_patient_outcomes,,
2482,Jin,2025,SHAP-based interpretable machine learning for Parkinson's disease severity prediction: integrated analysis of clinical and environmental features.,,decide,evaluation,decide:evaluation,7,Y,Y,Y,N,Y,Y,N,Y,process_capacity|cost|process_throughput|improved_patient_outcomes,,
12,Al-Bakri,2025,A Meta-Learning-Based Ensemble Model for Explainable Alzheimer's Disease Diagnosis.,,decide,modeling,decide:modeling,6,Y,Y,Y,Y,N,Y,N,N,human_resources|improved_patient_outcomes,,
20,Zilker,2024,A machine learning framework for interpretable predictions in patient pathways: The case of predicting ICU admission for patients with symptoms of sepsis.,,decide,modeling,decide:modeling,3,Y,N,Y,N,N,Y,N,N,process_throughput|improved_healthcare_outcomes|improved_patient_outcomes,,
869,Stenwig,2022,Comparative analysis of explainable machine learning prediction models for hospital mortality.,,decide,evaluation,decide:evaluation,4,Y,N,Y,Y,N,N,N,N,human_resources|improved_patient_outcomes,,
4,Zaferani,2025,"Predicting and classifying type 2 diabetes using a transparent ensemble model combining random forest, k-nearest neighbor, and neural networks.",,decide,evaluation,decide:evaluation,5,Y,N,Y,Y,N,Y,N,N,human_resources|improved_patient_outcomes,,
801,Chen,2026,Utilizing Machine Learning to Identify Predictors of Corticosteroid Discontinuation 1-Year After Adult Heart Transplant.,,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,human_resources|cost,,
2018,Chen,2024,Automatic text classification of drug-induced liver injury using document-term matrix and XGBoost.,,decide,modeling,decide:modeling,4,Y,N,Y,N,N,N,Y,Y,improved_patient_outcomes,,
8078,Safaei,2022,E-CatBoost: An efficient machine learning framework for predicting ICU mortality using the eICU Collaborative Research Database.,,decide,evaluation,decide:evaluation,5,Y,N,Y,N,N,Y,Y,N,human_resources|cost|improved_healthcare_outcomes|improved_patient_outcomes,,
782,Sani,2026,Machine Learning-Based Prediction of Institutional Delivery Dropout (IDD) Among Nigerian Women: An Exploratory Study Using SHAP Interpretability.,,decide,evaluation,decide:evaluation,5,Y,N,Y,N,Y,Y,N,N,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
784,Xu,2026,Research on children's health prediction based on Improved Grey Wolf Optimization algorithm-Random Forest model.,,decide,evaluation,decide:evaluation,6,Y,Y,Y,Y,Y,N,Y,N,human_resources|improved_patient_outcomes,,
870,Su,2022,Machine Learning Models for Predicting Influential Factors of Early Outcomes in Acute Ischemic Stroke: Registry-Based Study.,,decide,evaluation,decide:evaluation,8,Y,N,Y,N,Y,Y,Y,Y,human_resources|improved_process_performance|improved_patient_outcomes,,
845,Usman,2024,Enhanced desalination with polyamide thin-film membranes using ensemble ML chemometric methods and SHAP analysis.,,decide,evaluation,decide:evaluation,3,Y,N,Y,N,N,Y,N,N,process_throughput|improved_process_performance|improved_patient_outcomes,,
802,Stenwig,2025,The impact of feature combinations on machine learning models for in-hospital mortality prediction.,,decide,evaluation,decide:evaluation,5,Y,N,Y,N,N,N,N,N,human_resources|improved_patient_outcomes,,
858,Liu,2024,Building a predictive model for hypertension related to environmental chemicals using machine learning.,,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,,,
8826,Dong,2022,Non-contact screening system based for COVID-19 on XGBoost and logistic regression.,,decide,evaluation,decide:evaluation,4,Y,Y,Y,N,N,N,Y,N,human_resources|improved_patient_outcomes,,
857,Shen,2024,Exploring White Matter Abnormalities in Young Children with Autism Spectrum Disorder: Integrating Multi-shell Diffusion Data and Machine Learning Analysis.,,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,,,
849,Yasin,2024,Machine learning-enabled prediction of prolonged length of stay in hospital after surgery for tuberculosis spondylitis patients with unbalanced data: a novel approach using explainable artificial intelligence (XAI).,,decide,evaluation,decide:evaluation,4,Y,N,Y,N,N,Y,N,N,human_resources|cost|process_throughput|improved_healthcare_outcomes|improved_patient_outcomes,,
833,Alnazari,2025,Development of explainable artificial intelligence based machine learning model for predicting 30-day hospital readmission after renal transplantation.,,decide,evaluation,decide:evaluation,6,Y,Y,Y,N,N,N,N,Y,human_resources|improved_patient_outcomes,,
789,Yang,2026,"A Multicohort Machine Learning Framework to Predict Mortality in Elderly Patients With Heart Disease: Insights From HARLS, SHARE, and HRS.",,decide,evaluation,decide:evaluation,7,Y,Y,Y,N,Y,Y,N,N,human_resources|improved_patient_outcomes,,
2379,Kural,2024,Using machine learning to improve anaphylaxis case identification in medical claims data.,,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,improved_patient_outcomes,,
2120,Karim,2023,"Explainable AI for Bioinformatics: Methods, Tools and Applications.",,decide,evaluation,decide:evaluation,1,N,N,Y,N,N,N,N,N,,,
816,Vani,2025,Personalized health monitoring using explainable AI: bridging trust in predictive healthcare.,,decide,evaluation,decide:evaluation,6,Y,Y,Y,N,N,Y,Y,N,human_resources|improved_patient_outcomes,,
863,Ballester,2023,Gray matter volume drives the brain age gap in schizophrenia: a SHAP study.,,decide,evaluation,decide:evaluation,4,N,N,Y,Y,N,N,N,N,human_resources|cost|improved_patient_outcomes,,
8474,Han,2021,Comprehensive Comparison Between Shaped Versus Round Implants for Breast Reconstruction: A Systematic Review and Meta-Analysis.,,decide,evaluation,decide:evaluation,1,N,N,Y,N,N,N,N,N,,,
10,Prentzas,2025,Explainable artificial intelligence in the prediction of high-risk asymptomatic carotid plaques based on ultrasonic image features.,,decide,evaluation,decide:evaluation,1,N,N,Y,N,N,N,N,N,,,
840,Sifat,2024,Optimizing hypertension prediction using ensemble learning approaches.,,decide,evaluation,decide:evaluation,4,Y,N,Y,N,Y,Y,N,N,cost|process_throughput|improved_patient_outcomes,,
2499,Yang,2025,Interpretable machine learning model for predicting anastomotic leak after esophageal cancer surgery via LightGBM.,,decide,evaluation,decide:evaluation,5,Y,Y,Y,N,N,N,N,N,human_resources|cost|improved_patient_outcomes,,
871,González-Nóvoa,2021,Using Explainable Machine Learning to Improve Intensive Care Unit Alarm Systems.,,decide,evaluation,decide:evaluation,5,Y,N,Y,N,Y,N,Y,N,human_resources|improved_patient_outcomes,,
9439,Sharma,2023,Shape Expressions (ShEx) schemas for the FHIR R5 specification.,,decide,evaluation,decide:evaluation,1,N,N,Y,N,N,N,N,N,,,
1,Shafiabady,2026,Explainable AI for mortality prediction: a comparative study using the MIMIC-III dataset.,,decide,evaluation,decide:evaluation,5,Y,N,Y,N,Y,Y,N,N,human_resources|improved_outcomes|improved_patient_outcomes,,
859,Ali,2023,The enlightening role of explainable artificial intelligence in medical & healthcare domains: A systematic literature review.,,decide,evaluation,decide:evaluation,1,N,N,Y,N,N,N,N,N,,,
852,Alelyani,2024,Explainable Artificial Intelligence in Quantifying Breast Cancer Factors: Saudi Arabia Context.,,decide,evaluation,decide:evaluation,4,Y,N,Y,N,Y,Y,N,N,human_resources|cost|improved_patient_outcomes,,
2382,Langenberger,2023,The application of machine learning to predict high-cost patients: A performance-comparison of different models using healthcare claims data.,,decide,modeling,decide:modeling,5,Y,N,N,N,Y,N,Y,N,human_resources|cost|improved_healthcare_outcomes|improved_patient_outcomes,,
6,Castro,2026,Automated Machine Learning in medical research: A systematic literature mapping study.,,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,,,
809,Cai,2025,Explainable machine learning models for predicting of protein-energy wasting in patients on maintenance haemodialysis.,,decide,evaluation,decide:evaluation,7,Y,N,Y,N,N,Y,Y,Y,human_resources|cost|improved_patient_outcomes,,
853,Li,2024,Prediction of Cognitive Impairment Risk among Older Adults: A Machine Learning-Based Comparative Study and Model Development.,,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,,,
2388,Herrin,2021,Comparative Effectiveness of Machine Learning Approaches for Predicting Gastrointestinal Bleeds in Patients Receiving Antithrombotic Treatment.,,decide,modeling,decide:modeling,7,Y,Y,N,N,N,Y,Y,N,human_resources|cost|improved_outcomes|improved_patient_outcomes,,
8577,Orkild,2022,All Roads Lead to Rome: Diverse Etiologies of Tricuspid Regurgitation Create a Predictable Constellation of Right Ventricular Shape Changes.,,decide,evaluation,decide:evaluation,5,Y,N,Y,Y,Y,Y,N,N,improved_patient_outcomes,,
787,Ripollés-Melchor,2026,"Beyond compliance: Patient risk, ERAS adherence, and postoperative outcomes through explainable machine learning.",,decide,modeling,decide:modeling,1,N,N,Y,N,N,N,N,N,,,
2383,Nguyen,2022,Simplified Machine Learning Models Can Accurately Identify High-Need High-Cost Patients With Inflammatory Bowel Disease.,,decide,modeling,decide:modeling,8,Y,Y,N,Y,N,Y,Y,Y,cost|process_throughput|improved_healthcare_outcomes|improved_patient_outcomes,,
808,Jang,2025,Explainable Machine Learning Applied to Bioelectrical Impedance for Low Back Pain: Classification and Pain-Score Prediction.,,decide,evaluation,decide:evaluation,9,Y,Y,Y,N,Y,Y,N,N,improved_patient_outcomes,,
19,Sousa,2024,Machine learning models' assessment: trust and performance.,,decide,evaluation,decide:evaluation,6,N,N,Y,N,Y,Y,N,Y,human_resources|improved_patient_outcomes,,
844,Pham,2024,Forecasting Patient Early Readmission from Irish Hospital Discharge Records Using Conventional Machine Learning Models.,,decide,evaluation,decide:evaluation,8,Y,N,Y,Y,Y,Y,Y,Y,human_resources|cost|process_throughput|improved_healthcare_outcomes|improved_patient_outcomes,,
21,Kassem,2024,"An innovative artificial intelligence-based method to compress complex models into explainable, model-agnostic and reduced decision support systems with application to healthcare (NEAR).",,decide,evaluation,decide:evaluation,1,N,N,Y,N,N,N,N,N,,Y,
822,Li,2026,Enhancing end-stage renal disease outcome prediction: a multisourced data-driven approach.,,decide,evaluation,decide:evaluation,8,Y,N,Y,N,Y,Y,Y,N,human_resources|improved_patient_outcomes,,
14,Wang,2025,Investigating Protective and Risk Factors and Predictive Insights for Aboriginal Perinatal Mental Health: Explainable Artificial Intelligence Approach.,,decide,modeling,decide:modeling,6,Y,N,Y,N,Y,N,Y,Y,human_resources|improved_patient_outcomes,,
804,Lo,2026,"Development and validation of machine learning models to predict vancomycin- and teicoplanin-associated acute kidney injury: A retrospective, multicenter study.",,decide,modeling,decide:modeling,2,N,Y,N,N,N,N,N,N,,,
850,Salehi,2024,Machine Learning Prediction of Treatment Response to Biological Disease-Modifying Antirheumatic Drugs in Rheumatoid Arthritis.,,decide,modeling,decide:modeling,5,Y,N,Y,Y,N,N,Y,Y,human_resources|cost|improved_patient_outcomes,,
8740,Ebrahimi,2024,Identification of patients' smoking status using an explainable AI approach: a Danish electronic health records case study.,,decide,modeling,decide:modeling,5,Y,N,Y,Y,N,Y,N,N,human_resources|improved_patient_outcomes,,
2377,Lendle,2025,Exploring the Complexity of Real-World Health Data Record Linkage-An Exemplary Study Linking Cancer Registry and Claims Data.,,decide,modeling,decide:modeling,7,Y,N,N,N,Y,Y,Y,Y,human_resources|improved_patient_outcomes,,
862,Lin,2023,Explainable Machine Learning to Predict Successful Weaning of Mechanical Ventilation in Critically Ill Patients Requiring Hemodialysis.,,decide,evaluation,decide:evaluation,5,N,Y,Y,N,Y,Y,N,Y,human_resources|improved_patient_outcomes,,
860,Nam,2023,"The development of machine learning algorithms that can predict patients satisfaction using baseline characteristics, and preoperative and operative factors of total knee arthroplasty.",,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,,,
794,Koritsánszky,2025,Shifting Determinants of Mortality Risk After Orthotopic Heart Transplantation Identified by Machine Learning.,,decide,evaluation,decide:evaluation,7,Y,N,Y,N,Y,Y,Y,Y,human_resources|improved_outcomes|improved_patient_outcomes,,
803,Aga,2025,Predicting stillbirth and identifying key maternal risk factors using machine learning.,,decide,evaluation,decide:evaluation,6,Y,N,Y,N,Y,Y,Y,N,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
779,Wang,2026,Development and validation of a machine learning predictive model for one-month post-revascularization angina in patients who had undergone PCI or CABG.,,decide,evaluation,decide:evaluation,7,Y,Y,Y,N,N,Y,Y,N,human_resources|cost|improved_patient_outcomes,,
792,Alsharif,2025,Artificial intelligence-driven diagnosis of autism spectrum disorder in children.,,decide,evaluation,decide:evaluation,5,Y,N,Y,Y,Y,N,N,N,human_resources|cost|improved_patient_outcomes,,
22,Vitt,2024,Artificial Intelligence and Machine Learning Applications in Critically Ill Brain Injured Patients.,,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,,,
854,Rhee,2024,Machine Learning-Based Discrimination of Cardiovascular Outcomes in Patients With Hypertrophic Cardiomyopathy.,,decide,evaluation,decide:evaluation,8,Y,Y,Y,N,N,Y,Y,Y,human_resources|improved_patient_outcomes,,
811,Shen,2025,Precision dosing of voriconazole in immunocompromised children under 2 years: integrated machine learning and population pharmacokinetic modeling.,,decide,evaluation,decide:evaluation,8,Y,Y,Y,N,Y,Y,Y,Y,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
825,Qian,2025,Development of an explainable machine learning model for predicting device-related pressure injuries in clinical settings.,,decide,evaluation,decide:evaluation,3,Y,N,Y,N,N,N,N,N,human_resources|process_throughput|improved_patient_outcomes,,
800,Jiang,2025,Bridging the gap: explainable ai for autism diagnosis and parental support with TabPFNMix and SHAP.,,decide,evaluation,decide:evaluation,5,Y,N,Y,Y,N,Y,N,N,human_resources|improved_patient_outcomes,,
2387,Bory,2022,Predictive modeling of service discontinuation in transitional age youth with recent behavioral health service use.,,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,,,
835,Xu,2025,A multicenter study on developing a prognostic model for severe fever with thrombocytopenia syndrome using machine learning.,,decide,evaluation,decide:evaluation,7,Y,Y,Y,N,N,Y,N,N,human_resources|improved_patient_outcomes,,
856,McTeer,2024,Machine learning approaches to enhance diagnosis and staging of patients with MASLD using routinely available clinical information.,,decide,evaluation,decide:evaluation,4,Y,Y,Y,N,N,N,N,N,improved_patient_outcomes,,
832,Bhasuran,2025,Predicting Organ Rejections for Pediatric Heart Transplantations with a Combined Use of Transplant Registry Data and Electronic Health Records.,,decide,evaluation,decide:evaluation,5,Y,Y,Y,N,Y,Y,N,N,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
838,Lee,2025,AI Machine Learning-Based Diabetes Prediction in Older Adults in South Korea: Cross-Sectional Analysis.,,decide,evaluation,decide:evaluation,5,Y,N,Y,N,Y,Y,N,N,human_resources|cost|improved_patient_outcomes,,
867,Yamamoto,2022,Impact of System and Diagnostic Errors on Medical Litigation Outcomes: Machine Learning-Based Prediction Models.,,decide,modeling,decide:modeling,8,Y,N,Y,Y,N,Y,Y,Y,human_resources|cost|improved_patient_outcomes,,
2381,Chiriac,2024,Beyond Atrial Fibrillation: Machine Learning Algorithm Predicts Stroke in Adult Patients With Congenital Heart Disease.,,decide,modeling,decide:modeling,9,Y,Y,Y,N,Y,Y,Y,Y,human_resources|improved_patient_outcomes,,
805,Zhang,2025,Development and validation of a successful aging prediction model for older adults in China based on health ecology theory.,,decide,evaluation,decide:evaluation,8,Y,N,Y,Y,Y,Y,N,N,human_resources|improved_outcomes|improved_patient_outcomes,,
778,Xi,2026,Value of an automated machine learning model with post-hoc explanation for predicting healthcare-seeking delays among residents in Tibetan regions.,,decide,evaluation,decide:evaluation,8,Y,Y,Y,Y,Y,Y,N,N,human_resources|improved_patient_outcomes,,
829,Sun,2025,Machine learning-based prediction of diabetic peripheral neuropathy: model development and clinical validation.,,decide,evaluation,decide:evaluation,7,Y,N,Y,N,Y,Y,N,Y,human_resources|cost|improved_patient_outcomes,,
2376,Niraula,2025,AI/ML driven prediction of COPD exacerbations and readmissions: a systematic review and meta-analysis.,,decide,modeling,decide:modeling,8,Y,Y,N,N,Y,Y,Y,N,cost|improved_patient_outcomes,,
793,Du,2025,An individualized risk prediction tool for ectopic pregnancy within the first 10 weeks of gestation based on machine learning algorithms.,,decide,evaluation,decide:evaluation,6,Y,N,Y,N,N,Y,Y,Y,improved_patient_outcomes,,
814,Zhu,2025,Decoding the association between health level and human settlements environment: a machine learning-driven provincial analysis in China.,,decide,evaluation,decide:evaluation,4,N,N,Y,Y,Y,Y,N,N,human_resources|improved_patient_outcomes,,
842,Mbous,2024,Predictive and Interpretable Machine Learning of Economic Burden: The Role of Chronic Conditions Among Elderly Patients with Incident Primary Merkel Cell Carcinoma (MCC).,,decide,evaluation,decide:evaluation,4,N,N,Y,N,Y,N,Y,N,human_resources|cost|improved_patient_outcomes,,
1794,Zuo,2026,FKSUDDAPre: A drug-disease association prediction framework based on F-TEST feature selection and AMDKSU resampling with interpretability analysis.,,decide,modeling,decide:modeling,8,Y,N,Y,N,N,Y,Y,Y,process_capacity|human_resources|process_throughput|improved_patient_outcomes,,
797,Kaneoka,2025,Development and Statistical Validation of a Machine Learning Model for Predicting Functional Outcomes at Discharge after Bipolar Hip Arthroplasty.,,decide,evaluation,decide:evaluation,7,Y,N,Y,Y,Y,Y,N,N,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
16,Cahill,2025,The AI-enhanced surgeon - integrating black-box artificial intelligence in the operating room.,,decide,evaluation,decide:evaluation,6,Y,N,N,N,N,Y,Y,Y,human_resources|process_throughput|improved_patient_outcomes,,
810,Choi,2025,Explainable SHAP-XGBoost models for identifying important social factors associated with the atherosclerotic cardiovascular disease risk score using the LASSO feature selection technique.,,decide,evaluation,decide:evaluation,4,Y,N,Y,N,Y,N,Y,N,human_resources|cost|improved_patient_outcomes,,
824,Pongsittisak,2025,A Simplified Machine Learning Model for Predicting Reduced Kidney Function in Thai Patients with Type 2 Diabetes: A Retrospective Study.,,decide,evaluation,decide:evaluation,6,Y,N,Y,N,N,Y,N,N,improved_patient_outcomes,,
846,He,2024,Construction of a machine learning-based prediction model for unfavorable discharge outcomes in patients with ischemic stroke.,,decide,evaluation,decide:evaluation,4,Y,N,Y,N,Y,Y,N,N,improved_patient_outcomes,,
